Кол-во элементов;Кол-во элементов в ^ 2;Кол-во перестановок;Кол-во сравнений;Сумма сравнений и перестановок;Кол-во итераций;Время на сортировку;Тип сортировки
19100;364810000;10908;267372;278280;245556;0.001930;quickSort
19200;368640000;11008;269072;280080;247056;0.001704;quickSort
19300;372490000;11108;270772;281880;248556;0.001889;quickSort
19400;376360000;11208;272472;283680;250056;0.001914;quickSort
19500;380250000;11308;274172;285480;251556;0.001816;quickSort
19600;384160000;11408;275872;287280;253056;0.005336;quickSort
19700;388090000;11508;277572;289080;254556;0.001732;quickSort
19800;392040000;11608;279272;290880;256056;0.002581;quickSort
19900;396010000;11708;280972;292680;257556;0.001838;quickSort
20000;400000000;11808;282672;294480;259056;0.001620;quickSort
20100;404010000;11908;284372;296280;260556;0.002306;quickSort
20200;408040000;12008;286072;298080;262056;0.001764;quickSort
20300;412090000;12108;287772;299880;263556;0.001882;quickSort
20400;416160000;12208;289472;301680;265056;0.001675;quickSort
20500;420250000;12308;291172;303480;266556;0.001923;quickSort
20600;424360000;12408;292872;305280;268056;0.001760;quickSort
20700;428490000;12508;294572;307080;269556;0.001649;quickSort
20800;432640000;12608;296272;308880;271056;0.002217;quickSort
20900;436810000;12708;297972;310680;272556;0.001875;quickSort
21000;441000000;12808;299672;312480;274056;0.001721;quickSort
21100;445210000;12908;301372;314280;275556;0.001751;quickSort
21200;449440000;13008;303072;316080;277056;0.001889;quickSort
21300;453690000;13108;304772;317880;278556;0.001848;quickSort
21400;457960000;13208;306472;319680;280056;0.001751;quickSort
21500;462250000;13308;308172;321480;281556;0.001999;quickSort
21600;466560000;13408;309872;323280;283056;0.001848;quickSort
21700;470890000;13508;311572;325080;284556;0.001978;quickSort
21800;475240000;13608;313272;326880;286056;0.002014;quickSort
21900;479610000;13708;314972;328680;287556;0.001778;quickSort
22000;484000000;13808;316672;330480;289056;0.002053;quickSort
22100;488410000;13908;318372;332280;290556;0.002000;quickSort
22200;492840000;14008;320072;334080;292056;0.002121;quickSort
22300;497290000;14108;321772;335880;293556;0.002274;quickSort
22400;501760000;14208;323472;337680;295056;0.002212;quickSort
22500;506250000;14308;325172;339480;296556;0.002174;quickSort
22600;510760000;14408;326872;341280;298056;0.002095;quickSort
22700;515290000;14508;328572;343080;299556;0.002408;quickSort
22800;519840000;14608;330272;344880;301056;0.004261;quickSort
22900;524410000;14708;331972;346680;302556;0.002234;quickSort
23000;529000000;14808;333672;348480;304056;0.001956;quickSort
23100;533610000;14908;335372;350280;305556;0.001839;quickSort
23200;538240000;15008;337072;352080;307056;0.001983;quickSort
23300;542890000;15108;338772;353880;308556;0.002393;quickSort
23400;547560000;15208;340472;355680;310056;0.002045;quickSort
23500;552250000;15308;342172;357480;311556;0.001883;quickSort
23600;556960000;15408;343872;359280;313056;0.002173;quickSort
23700;561690000;15508;345572;361080;314556;0.002178;quickSort
23800;566440000;15608;347272;362880;316056;0.002147;quickSort
23900;571210000;15708;348972;364680;317556;0.001979;quickSort
24000;576000000;15808;350672;366480;319056;0.002094;quickSort
24100;580810000;15908;352372;368280;320556;0.002028;quickSort
24200;585640000;16008;354072;370080;322056;0.002371;quickSort
24300;590490000;16108;355772;371880;323556;0.002136;quickSort
24400;595360000;16208;357472;373680;325056;0.002176;quickSort
24500;600250000;16308;359172;375480;326556;0.002591;quickSort
24600;605160000;16383;360797;377180;328031;0.002965;quickSort
24700;610090000;16383;362197;378580;329431;0.002060;quickSort
24800;615040000;16383;363597;379980;330831;0.002391;quickSort
24900;620010000;16383;364997;381380;332231;0.002137;quickSort
25000;625000000;16383;366397;382780;333631;0.002193;quickSort
25100;630010000;16383;367797;384180;335031;0.002067;quickSort
25200;635040000;16383;369197;385580;336431;0.002084;quickSort
25300;640090000;16383;370597;386980;337831;0.002240;quickSort
25400;645160000;16383;371997;388380;339231;0.002068;quickSort
25500;650250000;16383;373397;389780;340631;0.002448;quickSort
25600;655360000;16383;374797;391180;342031;0.002143;quickSort
25700;660490000;16383;376197;392580;343431;0.002133;quickSort
25800;665640000;16383;377597;393980;344831;0.002302;quickSort
25900;670810000;16383;378997;395380;346231;0.002302;quickSort
26000;676000000;16383;380397;396780;347631;0.002479;quickSort
26100;681210000;16383;381797;398180;349031;0.002154;quickSort
26200;686440000;16383;383197;399580;350431;0.002442;quickSort
26300;691690000;16383;384597;400980;351831;0.002246;quickSort
26400;696960000;16383;385997;402380;353231;0.002322;quickSort
26500;702250000;16383;387397;403780;354631;0.002413;quickSort
26600;707560000;16383;388797;405180;356031;0.002197;quickSort
26700;712890000;16383;390197;406580;357431;0.002228;quickSort
26800;718240000;16383;391597;407980;358831;0.002578;quickSort
26900;723610000;16383;392997;409380;360231;0.002231;quickSort
27000;729000000;16383;394397;410780;361631;0.002347;quickSort
27100;734410000;16383;395797;412180;363031;0.002475;quickSort
27200;739840000;16383;397197;413580;364431;0.002284;quickSort
27300;745290000;16383;398597;414980;365831;0.002319;quickSort
27400;750760000;16383;399997;416380;367231;0.002263;quickSort
27500;756250000;16383;401397;417780;368631;0.002572;quickSort
27600;761760000;16383;402797;419180;370031;0.002246;quickSort
27700;767290000;16383;404197;420580;371431;0.002338;quickSort
27800;772840000;16383;405597;421980;372831;0.002830;quickSort
27900;778410000;16383;406997;423380;374231;0.002260;quickSort
28000;784000000;16383;408397;424780;375631;0.002313;quickSort
28100;789610000;16383;409797;426180;377031;0.002266;quickSort
28200;795240000;16383;411197;427580;378431;0.002509;quickSort
28300;800890000;16383;412597;428980;379831;0.002589;quickSort
28400;806560000;16383;413997;430380;381231;0.002422;quickSort
28500;812250000;16383;415397;431780;382631;0.002384;quickSort
28600;817960000;16383;416797;433180;384031;0.003046;quickSort
28700;823690000;16383;418197;434580;385431;0.002638;quickSort
28800;829440000;16383;419597;435980;386831;0.002490;quickSort
28900;835210000;16383;420997;437380;388231;0.002321;quickSort
29000;841000000;16383;422397;438780;389631;0.002870;quickSort
29100;846810000;16383;423797;440180;391031;0.002477;quickSort
29200;852640000;16383;425197;441580;392431;0.002416;quickSort
29300;858490000;16383;426597;442980;393831;0.002337;quickSort
29400;864360000;16383;427997;444380;395231;0.002351;quickSort
29500;870250000;16383;429397;445780;396631;0.002552;quickSort
29600;876160000;16383;430797;447180;398031;0.003096;quickSort
29700;882090000;16383;432197;448580;399431;0.002365;quickSort
29800;888040000;16383;433597;449980;400831;0.002928;quickSort
29900;894010000;16383;434997;451380;402231;0.002499;quickSort
30000;900000000;16383;436397;452780;403631;0.002405;quickSort
30100;906010000;16383;437797;454180;405031;0.002421;quickSort
30200;912040000;16383;439197;455580;406431;0.002418;quickSort
30300;918090000;16383;440597;456980;407831;0.002436;quickSort
30400;924160000;16383;441997;458380;409231;0.002507;quickSort
30500;930250000;16383;443397;459780;410631;0.002418;quickSort
30600;936360000;16383;444797;461180;412031;0.002425;quickSort
30700;942490000;16383;446197;462580;413431;0.002411;quickSort
30800;948640000;16383;447597;463980;414831;0.002448;quickSort
30900;954810000;16383;448997;465380;416231;0.002437;quickSort
31000;961000000;16383;450397;466780;417631;0.002436;quickSort
31100;967210000;16383;451797;468180;419031;0.002445;quickSort
31200;973440000;16383;453197;469580;420431;0.002450;quickSort
31300;979690000;16383;454597;470980;421831;0.002807;quickSort
31400;985960000;16383;455997;472380;423231;0.002480;quickSort
31500;992250000;16383;457397;473780;424631;0.002475;quickSort
31600;998560000;16383;458797;475180;426031;0.002495;quickSort
31700;1004890000;16383;460197;476580;427431;0.002498;quickSort
31800;1011240000;16383;461597;477980;428831;0.002492;quickSort
31900;1017610000;16383;462997;479380;430231;0.002554;quickSort
32000;1024000000;16383;464397;480780;431631;0.002712;quickSort
32100;1030410000;16383;465797;482180;433031;0.002505;quickSort
32200;1036840000;16383;467197;483580;434431;0.002509;quickSort
32300;1043290000;16383;468597;484980;435831;0.002555;quickSort
32400;1049760000;16383;469997;486380;437231;0.002618;quickSort
32500;1056250000;16383;471397;487780;438631;0.002531;quickSort
32600;1062760000;16383;472797;489180;440031;0.002762;quickSort
32700;1069290000;16383;474197;490580;441431;0.002545;quickSort
32800;1075840000;16416;475729;492145;442897;0.002614;quickSort
32900;1082410000;16516;477529;494045;444497;0.002586;quickSort
33000;1089000000;16616;479329;495945;446097;0.003089;quickSort
33100;1095610000;16716;481129;497845;447697;0.003405;quickSort
33200;1102240000;16816;482929;499745;449297;0.002967;quickSort
33300;1108890000;16916;484729;501645;450897;0.003250;quickSort
33400;1115560000;17016;486529;503545;452497;0.003066;quickSort
33500;1122250000;17116;488329;505445;454097;0.003021;quickSort
33600;1128960000;17216;490129;507345;455697;0.002927;quickSort
33700;1135690000;17316;491929;509245;457297;0.003590;quickSort
33800;1142440000;17416;493729;511145;458897;0.002916;quickSort
33900;1149210000;17516;495529;513045;460497;0.002946;quickSort
34000;1156000000;17616;497329;514945;462097;0.002664;quickSort
34100;1162810000;17716;499129;516845;463697;0.003041;quickSort
34200;1169640000;17816;500929;518745;465297;0.002853;quickSort
34300;1176490000;17916;502729;520645;466897;0.002727;quickSort
34400;1183360000;18016;504529;522545;468497;0.002833;quickSort
34500;1190250000;18116;506329;524445;470097;0.002753;quickSort
